epoch,total_loss,task_loss,pde_loss,boundary_loss,field_target_loss,geom_constraint_loss,min_value_loss,field_upper_boundary_loss,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,weight_boundary,weight_field_target,weight_field_upper_boundary,weight_geom_constraint,weight_min_value,weight_pde
0,4.999994277954102,4.999994277954102,10113.3125,0.9297112822532654,15.667839050292969,0.25,0.0,0.0017411690205335617,1.5010000467300415,1.5010000467300415,1.5010000467300415,1.5010000467300415,1.5010000467300415,1.5010000467300415,2.1009998321533203,2.500999927520752,1.0010000467300415,1.0010000467300415,1.0010000467300415,1.5010000467300415,3.000999927520752,3.000999927520752,3.000999927520752,3.000999927520752,3.000999927520752,3.000999927520752,1.5010000467300415,1.5010000467300415,1.5010000467300415,1.5010000467300415,1.500999927520752,1.500999927520752,1.0,1.0,1.0009987354278564,1.0,1.0010005235671997,1.0
1,22.68817710876465,22.690176010131836,10113.3125,1.0751434564590454,14.704862594604492,0.24601534008979797,0.0,0.032373007386922836,1.501753330230713,1.5017539262771606,1.5017623901367188,1.5017783641815186,1.501798391342163,1.5018175840377808,2.1018316745758057,2.5018537044525146,1.001999855041504,1.0019996166229248,1.0019994974136353,1.5019997358322144,3.0017523765563965,3.0017569065093994,3.001769542694092,3.001788377761841,3.0018086433410645,3.0018255710601807,1.5018361806869507,1.501856803894043,1.5018724203109741,1.5018895864486694,1.5019104480743408,1.5019397735595703,0.9992561340332031,1.0007444620132446,1.0002541542053223,1.0007444620132446,1.0020020008087158,1.0
2,17.441551208496094,17.444549560546875,10113.3125,1.100426435470581,14.863382339477539,0.24206456542015076,0.0,0.02322746254503727,1.5025849342346191,1.5025869607925415,1.5026034116744995,1.5026323795318604,1.5026673078536987,1.502699851989746,2.1027233600616455,2.502760171890259,1.0029997825622559,1.0029994249343872,1.002999186515808,1.5029995441436768,3.0025837421417236,3.0025930404663086,3.0026166439056396,3.002650022506714,3.0026848316192627,3.002713441848755,1.5027307271957397,1.50276517868042,1.5027910470962524,1.5028191804885864,1.502853274345398,1.5029006004333496,0.9983978271484375,1.0015956163406372,0.9994165897369385,1.0015764236450195,1.003004550933838,1.0
3,6.676023483276367,6.68000602722168,10113.314453125,1.0431008338928223,15.471550941467285,0.23814670741558075,0.0,0.00455881142988801,1.5033012628555298,1.503298282623291,1.503319501876831,1.5033595561981201,1.5034068822860718,1.5034493207931519,2.10347843170166,2.503523826599121,1.0039998292922974,1.0039994716644287,1.0039993524551392,1.5039997100830078,3.003296136856079,3.003305435180664,3.003337860107422,3.0033836364746094,3.003429889678955,3.0034663677215576,1.5034867525100708,1.5035287141799927,1.5035582780838013,1.5035885572433472,1.503623127937317,1.5036653280258179,0.9975101351737976,1.002366304397583,0.9986894130706787,1.0024527311325073,1.0040080547332764,0.9994639754295349
4,5.599401950836182,5.603874206542969,10113.314453125,0.9057276248931885,15.703063011169434,0.23425711691379547,0.0,0.0029441630467772484,1.5039621591567993,1.50394606590271,1.5039665699005127,1.504014015197754,1.5040712356567383,1.5041218996047974,2.1041557788848877,2.5042033195495605,1.0049999952316284,1.0049997568130493,1.0049997568130493,1.5049999952316284,3.003948450088501,3.00395131111145,3.003988027572632,3.0040431022644043,3.004098653793335,3.0041418075561523,1.5041649341583252,1.504207968711853,1.5042370557785034,1.5042650699615479,1.5042937994003296,1.504319429397583,0.9968213438987732,1.0029855966567993,0.9980580806732178,1.0033597946166992,1.0050126314163208,1.0000090599060059
5,7.465028762817383,7.471245765686035,10113.314453125,0.7977764010429382,15.49587631225586,0.2304004728794098,0.0,0.006453498732298613,1.5046285390853882,1.504598617553711,1.5046182870864868,1.5046730041503906,1.504740595817566,1.504800796508789,2.104841470718384,2.5048887729644775,1.006000280380249,1.0060001611709595,1.006000280380249,1.5060003995895386,3.004605770111084,3.0046017169952393,3.0046427249908447,3.004707098007202,3.0047731399536133,3.00482439994812,1.5048526525497437,1.5048941373825073,1.504922866821289,1.5049493312835693,1.5049738883972168,1.5049859285354614,0.9965441823005676,1.0035691261291504,0.9974537491798401,1.0042921304702759,1.006018042564392,1.0004698038101196
6,6.14808988571167,6.156394004821777,10113.314453125,0.7735623121261597,15.577371597290039,0.22657492756843567,0.0,0.004222296178340912,1.505271077156067,1.505230188369751,1.5052510499954224,1.5053142309188843,1.505393147468567,1.5054641962051392,2.105513572692871,2.5055606365203857,1.0070005655288696,1.0070005655288696,1.0070008039474487,1.5070008039474487,3.0052406787872314,3.005232334136963,3.005279064178467,3.0053539276123047,3.0054314136505127,3.0054924488067627,1.5055276155471802,1.5055675506591797,1.5055969953536987,1.5056235790252686,1.5056464672088623,1.5056490898132324,0.9965787529945374,1.004092812538147,0.9968944191932678,1.0052464008331299,1.0070246458053589,1.0004380941390991
7,4.100987911224365,4.111205577850342,10113.314453125,0.8129310607910156,15.826517105102539,0.22278141975402832,0.0,0.0005751651478931308,1.505843997001648,1.5057963132858276,1.5058209896087646,1.5058938264846802,1.5059844255447388,1.5060662031173706,2.106123924255371,2.5061724185943604,1.0080008506774902,1.0080010890960693,1.0080015659332275,1.5080012083053589,3.0058083534240723,3.0057990550994873,3.0058534145355225,3.005939245223999,3.006028175354004,3.006098985671997,1.506140947341919,1.506180763244629,1.5062114000320435,1.5062386989593506,1.506260633468628,1.5062545537948608,0.9967775344848633,1.0044610500335693,0.9964171051979065,1.006220817565918,1.0080320835113525,1.0001543760299683
8,4.757197380065918,4.7691874504089355,10113.3125,0.9188008308410645,15.789573669433594,0.21901991963386536,0.0,0.0015554975252598524,1.506382942199707,1.506319284439087,1.5063402652740479,1.5064172744750977,1.5065155029296875,1.5066050291061401,2.1066691875457764,2.5067145824432373,1.0090011358261108,1.0090017318725586,1.0090023279190063,1.5090017318725586,3.0063371658325195,3.0063185691833496,3.006373882293701,3.0064661502838135,3.006563186645508,3.006641149520874,1.5066883563995361,1.5067237615585327,1.5067535638809204,1.5067791938781738,1.5067968368530273,1.5067771673202515,0.99697345495224,1.004711627960205,0.9959962368011475,1.0072141885757446,1.0090405941009521,0.9998179078102112
9,5.792823791503906,5.806487560272217,10113.3125,0.9194000959396362,15.659147262573242,0.21528957784175873,0.0,0.003407598240301013,1.5069248676300049,1.506833791732788,1.5068405866622925,1.5069137811660767,1.5070136785507202,1.507106900215149,2.107174873352051,2.5072100162506104,1.0100014209747314,1.0100023746490479,1.0100032091140747,1.5100022554397583,3.0068631172180176,3.006823778152466,3.006870985031128,3.006962776184082,3.0070629119873047,3.0071446895599365,1.5071953535079956,1.5072191953659058,1.5072449445724487,1.5072650909423828,1.5072736740112305,1.5072330236434937,0.9971663951873779,1.0049107074737549,0.9955999255180359,1.008225679397583,1.0100501775741577,0.9996259808540344
10,5.280645847320557,5.296114921569824,10113.3125,0.8579161763191223,15.690421104431152,0.21159213781356812,0.0,0.0026524073909968138,1.5074598789215088,1.5073354244232178,1.5073213577270508,1.5073848962783813,1.5074816942214966,1.507575273513794,2.10764479637146,2.5076653957366943,1.011001706123352,1.011003017425537,1.011004090309143,1.511002779006958,3.0073792934417725,3.007312774658203,3.00734543800354,3.0074315071105957,3.007530450820923,3.00761342048645,1.5076661109924316,1.5076738595962524,1.5076929330825806,1.5077046155929565,1.5077004432678223,1.5076333284378052,0.9974361062049866,1.005051612854004,0.9952337145805359,1.0092543363571167,1.0110607147216797,0.9996585845947266
11,4.160923957824707,4.178488254547119,10113.3125,0.7743752002716064,15.833393096923828,0.20792585611343384,0.0,0.0008624656475149095,1.5079586505889893,1.507800579071045,1.507764220237732,1.5078163146972656,1.5079084634780884,1.5080010890960693,2.1080715656280518,2.508077383041382,1.0120019912719727,1.0120036602020264,1.0120049715042114,1.5120033025741577,3.007859468460083,3.0077645778656006,3.0077810287475586,3.007859468460083,3.007956027984619,3.0080392360687256,1.5080933570861816,1.5080851316452026,1.5080971717834473,1.5081000328063965,1.5080825090408325,1.507988691329956,0.997852623462677,1.0050863027572632,0.9949158430099487,1.0102999210357666,1.012072205543518,0.9998497366905212
12,3.9055025577545166,3.9254260063171387,10113.3125,0.7065925598144531,15.875070571899414,0.20429162681102753,0.0,0.0005656805005855858,1.5084095001220703,1.5082201957702637,1.5081645250320435,1.508208155632019,1.508298397064209,1.508392572402954,2.1084659099578857,2.5084612369537354,1.0130022764205933,1.0130043029785156,1.0130059719085693,1.5130038261413574,3.0082926750183105,3.0081722736358643,3.0081756114959717,3.008249521255493,3.0083463191986084,3.008431911468506,1.5084890127182007,1.5084688663482666,1.508476972579956,1.508474588394165,1.5084487199783325,1.5083363056182861,0.9984188675880432,1.0050139427185059,0.9946444034576416,1.0113617181777954,1.0130847692489624,1.000091552734375
13,4.194561958312988,4.2170000076293945,10113.3125,0.6948761940002441,15.7883939743042,0.20068858563899994,0.0,0.0011309590190649033,1.5088239908218384,1.5086073875427246,1.5085368156433105,1.5085757970809937,1.5086674690246582,1.5087660551071167,2.108844518661499,2.5088326930999756,1.0140025615692139,1.0140050649642944,1.0140069723129272,1.5140043497085571,3.0086913108825684,3.008549928665161,3.0085442066192627,3.0086171627044678,3.0087172985076904,3.008807897567749,1.5088694095611572,1.508840799331665,1.5088481903076172,1.5088443756103516,1.508815050125122,1.5086915493011475,0.9990968108177185,1.0048784017562866,0.9944071173667908,1.0124396085739136,1.0140984058380127,1.0002655982971191
14,4.032222270965576,4.0572052001953125,10113.3125,0.6923889517784119,15.836780548095703,0.19711843132972717,0.0,0.0008735264418646693,1.509207010269165,1.5089662075042725,1.5088831186294556,1.5089188814163208,1.509013056755066,1.509116768836975,2.1092007160186768,2.5091824531555176,1.0150028467178345,1.0150058269500732,1.0150079727172852,1.5150048732757568,3.0090601444244385,3.0089006423950195,3.008887767791748,3.008960723876953,3.0090651512145996,3.0091612339019775,1.5092278718948364,1.5091910362243652,1.5091984272003174,1.509194254875183,1.5091627836227417,1.5090301036834717,0.999859094619751,1.0046712160110474,0.9942038059234619,1.0135328769683838,1.015113115310669,1.0002955198287964
